name, docs, words, word_range, result
octavian, 128, 32, 4194304, [0.015599966049194336, 0.031200170516967773, 0.015599966049194336]
tido, 128, 32, 4194304, [0.031199932098388672, 0.031199932098388672, 0.031200170516967773]
octavian, 128, 32, 1048576, [0.015599966049194336, 0.031199932098388672, 0.015599966049194336]
tido, 128, 32, 1048576, [0.031199932098388672, 0.031200170516967773, 0.031199932098388672]
octavian, 128, 64, 1073741824, [0.04679989814758301, 0.046801090240478516, 0.031199932098388672]
tido, 128, 64, 1073741824, [0.04680013656616211, 0.04679989814758301, 0.04679989814758301]
octavian, 128, 64, 268435456, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
tido, 128, 64, 268435456, [0.04680013656616211, 0.04679989814758301, 0.04680013656616211]
octavian, 128, 64, 67108864, [0.031200885772705078, 0.04680013656616211, 0.04679989814758301]
tido, 128, 64, 67108864, [0.062400102615356445, 0.062399864196777344, 0.04680013656616211]
octavian, 128, 64, 16777216, [0.031199932098388672, 0.031200170516967773, 0.031199932098388672]
tido, 128, 64, 16777216, [0.04680013656616211, 0.062399864196777344, 0.06240105628967285]
octavian, 128, 64, 4194304, [0.04679989814758301, 0.04680013656616211, 0.04679989814758301]
tido, 128, 64, 4194304, [0.04680013656616211, 0.04679989814758301, 0.04680013656616211]
octavian, 128, 64, 1048576, [0.031199932098388672, 0.031200170516967773, 0.031199932098388672]
tido, 128, 64, 1048576, [0.062400102615356445, 0.06240105628967285, 0.062399864196777344]
octavian, 128, 128, 1073741824, [0.07800006866455078, 0.07800006866455078, 0.07800006866455078]
tido, 128, 128, 1073741824, [0.10920000076293945, 0.10920095443725586, 0.10920000076293945]
octavian, 128, 128, 268435456, [0.07800006866455078, 0.07800006866455078, 0.07800006866455078]
tido, 128, 128, 268435456, [0.10920000076293945, 0.10920095443725586, 0.10920000076293945]
octavian, 128, 128, 67108864, [0.07800006866455078, 0.07800006866455078, 0.07800006866455078]
tido, 128, 128, 67108864, [0.10920095443725586, 0.12479996681213379, 0.10920000076293945]
octavian, 128, 128, 16777216, [0.07800006866455078, 0.07800006866455078, 0.07800102233886719]
tido, 128, 128, 16777216, [0.10920000076293945, 0.10920000076293945, 0.10920000076293945]
octavian, 128, 128, 4194304, [0.07800006866455078, 0.07800006866455078, 0.07800006866455078]
tido, 128, 128, 4194304, [0.12479996681213379, 0.10920000076293945, 0.10920000076293945]
octavian, 128, 128, 1048576, [0.07800006866455078, 0.07800006866455078, 0.09360003471374512]
tido, 128, 128, 1048576, [0.14039993286132812, 0.10920000076293945, 0.1248009204864502]
octavian, 128, 256, 1073741824, [0.1715998649597168, 0.1716001033782959, 0.1716010570526123]
tido, 128, 256, 1073741824, [0.24959993362426758, 0.2652008533477783, 0.265200138092041]
octavian, 128, 256, 268435456, [0.1716001033782959, 0.18720102310180664, 0.1716001033782959]
tido, 128, 256, 268435456, [0.2652008533477783, 0.28079986572265625, 0.24960112571716309]
octavian, 128, 256, 67108864, [0.1715998649597168, 0.1715998649597168, 0.1716008186340332]
tido, 128, 256, 67108864, [0.24959993362426758, 0.23400115966796875, 0.24959993362426758]
octavian, 128, 256, 16777216, [0.1716001033782959, 0.1716010570526123, 0.15599989891052246]
tido, 128, 256, 16777216, [0.24960088729858398, 0.265200138092041, 0.24960112571716309]
